reservation,location,sub_total,pickup_date,drop_date,vin,license,coverage
1,YYC_South,2000,23/05/2017,28/05/2017,123,123456789,1
2,YYC_North,1200,21/08/2017,24/08/2017,124,133456789,2
3,YYC_South,5400,14/11/2017,23/11/2017,427,986754382,3
4,YYC_South,2600,01/12/2017,05/12/2017,521,364527183,4
5,YYC_North,2250,23/09/2017,28/09/2017,134,321321312,4
6,YYC_North,1000,20/09/2017,22/09/2017,332,654654654,5
7,YYC_North,10000,08/07/2017,28/07/2017,141,888999000,3
8,YYC_South,1600,01/04/2017,05/04/2017,231,970960593,2
9,YYC_North,3000,23/07/2017,28/07/2017,344,563018920,1
10,YYC_South,300,27/06/2017,28/06/2017,151,133456789,0
