"fname","lname",sin,"position","username","password"
"Albert","Einstein",555444666,"Manager","admin","admin"
"Corey","Feld",444777888,"Assisstant Manager","admin","admin"
"Emily","Erinson",888777888,"Employee","admin","admin"
"Alex","Alexson",554455655,"Assisstant Manager","admin","admin"
"Megan","Meganson",888888888,"Employee","admin","admin"
"Eric","Ericson",111111111,"Employee","admin","admin"
"Peter","Peterpeter",222225555,"Employee","admin","admin"
"Wagoning","Wheel",789456123,"Owner","admin","admin"
"Sherlock","Holmes",123456789,"Employee","admin","admin"
"Watson","Watson",987654321,"Temp","admin","admin"
"Fenton","Notnef",454566789,"Employee","admin","admin"
"Xander","Cage",909090908,"Temp","admin","admin"
"Thomas","Edison",222333444,"Employee","admin","admin"
"Ingrid","Wilson",555777888,"Employee","admin","admin"
